"id_in_session","session_code","body"
1,"jdf4sgo1","Yes"
1,"jdf4sgo1","Keep describing your figures please"
1,"jdf4sgo1","Yes - Figure 4"
1,"jdf4sgo1","The one you mentioned has a triangle upside down and right way up, is that correct?"
1,"jdf4sgo1","Yep that's my figure 4"
1,"jdf4sgo1","Shall we call it Apron?"
1,"jdf4sgo1","Yes :)"
1,"jdf4sgo1","How many edges? "
1,"jdf4sgo1","Could it look like a face of an animal"
1,"jdf4sgo1","yes that's my Figure 5"
1,"jdf4sgo1","Yes :)"
1,"jdf4sgo1","Figure 3"
1,"jdf4sgo1","go with antennae for name"
1,"jdf4sgo1","Figure 1"
1,"jdf4sgo1","Can call Flag"
1,"jdf4sgo1","I could agree with it looking like an angel, and that is fig 2"
1,"jdf4sgo1",":) phew"
1,"jdf4sgo1","Hi "
1,"jdf4sgo1","Go for it"
1,"jdf4sgo1","That's also my figure 1"
2,"jdf4sgo1","Hello yes go ahead"
1,"jdf4sgo1","Sounds good!"
1,"jdf4sgo1","Could it also look like an animal face"
1,"jdf4sgo1","That's my figure 3"
2,"jdf4sgo1","Yes this is my figure 1"
1,"jdf4sgo1","Yup :)"
2,"jdf4sgo1","yes"
1,"jdf4sgo1","That's my figure 4, could also look like a cartoon hairline?"
2,"jdf4sgo1","That is my figure 4"
1,"jdf4sgo1","Haha let's call it flag :)"
2,"jdf4sgo1","yes"
1,"jdf4sgo1","That's my figure 2"
1,"jdf4sgo1","Yep :)"
2,"jdf4sgo1","That would be my fig 2"
2,"jdf4sgo1","yes"
1,"jdf4sgo1","Figure 5 for me"
1,"jdf4sgo1","That's the one"
1,"jdf4sgo1","Sounds goos"
1,"jdf4sgo1","We are all done"
2,"jdf4sgo1","fig 3"
1,"jdf4sgo1","I got 0 points last time but not sure why because it was the same like you and I, hope it's going to be ok"
2,"jdf4sgo1","yes"
1,"jdf4sgo1","Exact same images etc."
2,"jdf4sgo1","yes"
1,"jdf4sgo1","fingers crossed !"
2,"jdf4sgo1","yes"
2,"jdf4sgo1","yes"
2,"jdf4sgo1","hello"
3,"jdf4sgo1","Hi"
9,"jdf4sgo1","Hi"
3,"jdf4sgo1","Go ahead"
1,"jdf4sgo1","Hi there, my figure one looks like a shield or an animal face"
2,"jdf4sgo1","thats my figure 1"
1,"jdf4sgo1","What about you?"
9,"jdf4sgo1","My figure looks same too like a lion fore face"
2,"jdf4sgo1","can you describe your figure 2"
1,"jdf4sgo1","Which number"
9,"jdf4sgo1","fig 1"
3,"jdf4sgo1","I think so, could you give a little more detail?"
9,"jdf4sgo1","what do we call it"
1,"jdf4sgo1","OK we call it lion"
2,"jdf4sgo1","that would be my figure 5"
3,"jdf4sgo1","Ah yeah, I know the one"
3,"jdf4sgo1","That's figure 3 for me"
2,"jdf4sgo1","yes"
9,"jdf4sgo1","okay"
1,"jdf4sgo1","Figure 2 looks like an antennae for me and it's symmetrical"
3,"jdf4sgo1","Okay"
2,"jdf4sgo1","thats my figure 2"
1,"jdf4sgo1","Or even two swans about to kiss"
9,"jdf4sgo1","that will be my fig 3"
2,"jdf4sgo1","yes "
3,"jdf4sgo1","Does it have a hollow space in the middle kinda like a shield or heart?"
1,"jdf4sgo1","Let's call it swans?"
9,"jdf4sgo1","okay"
3,"jdf4sgo1","That's figure 1 for me"
2,"jdf4sgo1","my figure 4"
1,"jdf4sgo1","Figure 3 looks like an apron or hourglass"
3,"jdf4sgo1","Works for me"
9,"jdf4sgo1","that is my fig 2"
2,"jdf4sgo1","yes"
1,"jdf4sgo1","Great, call it hourglass?"
9,"jdf4sgo1","how do you name the figures"
3,"jdf4sgo1","That's figure 4"
2,"jdf4sgo1","my figure 3"
9,"jdf4sgo1","i only have this chat box"
1,"jdf4sgo1","You have to agree with the name"
2,"jdf4sgo1","yes"
1,"jdf4sgo1","so I am saying are you ok to call it hourglass"
9,"jdf4sgo1","okay"
3,"jdf4sgo1","Can do"
2,"jdf4sgo1","perfect"
9,"jdf4sgo1","Figure 1 is a Lion"
1,"jdf4sgo1","Fig 4 looks like a flag or a cartoon hairline"
9,"jdf4sgo1","figure 3 is Swans"
1,"jdf4sgo1","We've agreed with the others"
1,"jdf4sgo1","please let's continue"
9,"jdf4sgo1","Figure 2 is Hourglass"
1,"jdf4sgo1","Figure 4 looks like a flag or cartoon hairline "
3,"jdf4sgo1","That's figure 2"
9,"jdf4sgo1","Figure 4 is Flag then"
1,"jdf4sgo1","we have 1 min left I've already named them"
3,"jdf4sgo1","Alright"
1,"jdf4sgo1","that's your figure 4?"
9,"jdf4sgo1","the flag shape"
3,"jdf4sgo1","Figure 5"
9,"jdf4sgo1","yes"
1,"jdf4sgo1","5 looks like an angel, which number is it for you"
1,"jdf4sgo1","and are you ok to call it angel"
3,"jdf4sgo1","We can call it that"
9,"jdf4sgo1","figure 5 is same"
9,"jdf4sgo1","figure 5 is angel then"
3,"jdf4sgo1","Hi"
1,"jdf4sgo1","Ok let's do this quickly :)"
2,"jdf4sgo1","hello"
7,"jdf4sgo1","Go ahead"
9,"jdf4sgo1","Hi"
5,"jdf4sgo1","hello"
1,"jdf4sgo1","My figure 1 looks like a flag"
6,"jdf4sgo1","my figure one has two triangles, resembles a spider"
5,"jdf4sgo1","yes please"
9,"jdf4sgo1","my fig 1 looks like an angel "
1,"jdf4sgo1","Or a cartoon hairline, which number corresponds for you"
4,"jdf4sgo1","Figure 1 looks like a spikey bat"
3,"jdf4sgo1","Does it have a sort of ""M"" in the middle?"
2,"jdf4sgo1","that would be my figure 2"
6,"jdf4sgo1","yes"
3,"jdf4sgo1","Thats fig 5"
1,"jdf4sgo1","No as in which one which is MY figure 1 looks like one of yours"
9,"jdf4sgo1","okay"
4,"jdf4sgo1","I don't have the text boxes to fill in, arent you doing that"
5,"jdf4sgo1","okay thats my fig 5"
6,"jdf4sgo1","will call it Spider M"
7,"jdf4sgo1","does it have a bunch of triangles "
3,"jdf4sgo1","Okay"
1,"jdf4sgo1","My figure one looks like a flaf"
1,"jdf4sgo1","flag"
1,"jdf4sgo1","which figure is that for you"
6,"jdf4sgo1","figure 3 for me looks like a scythe "
9,"jdf4sgo1","figure 2 looks like a klion face"
5,"jdf4sgo1","yes thats perfect"
6,"jdf4sgo1","or a sickle"
9,"jdf4sgo1","*Lion face"
4,"jdf4sgo1","I dont have one that looks like a flag"
7,"jdf4sgo1","oh thats my 3. I think we have the same 1"
3,"jdf4sgo1","Long tringle pointing left?"
6,"jdf4sgo1","yes"
1,"jdf4sgo1","It looks like it could be a weapon maybe"
3,"jdf4sgo1","Also fig 3 for me"
1,"jdf4sgo1","with the bulk to the left"
2,"jdf4sgo1","I can see something which looks like a dragon"
6,"jdf4sgo1","call it a sickle?"
5,"jdf4sgo1","okay that is my figure 1"
3,"jdf4sgo1","Sure"
2,"jdf4sgo1","has 4 points on the top"
6,"jdf4sgo1","figure 2 for me looks like a coat or dress?"
9,"jdf4sgo1","yes"
2,"jdf4sgo1","that is my figure 4 "
7,"jdf4sgo1","yes."
5,"jdf4sgo1","yes "
4,"jdf4sgo1","is it kind of like the top of a scythe?"
9,"jdf4sgo1","you wanna call it a dragon?"
3,"jdf4sgo1","Is it pointy?"
2,"jdf4sgo1","yes"
6,"jdf4sgo1","yes, has pointed end in the middle-ish"
7,"jdf4sgo1","ok"
3,"jdf4sgo1","Is it symetrical?"
7,"jdf4sgo1","figure 4 for the shield"
6,"jdf4sgo1","it points off to the left"
9,"jdf4sgo1","fig 3 is two swans kissing"
6,"jdf4sgo1","not symmetircal"
1,"jdf4sgo1","Yes perhaps, let's call it scythe, what number is that for you"
2,"jdf4sgo1","thats my fig 3 aswell"
4,"jdf4sgo1","fig 4"
3,"jdf4sgo1","Thats figure 2 for me"
5,"jdf4sgo1","okay thats my figure 2"
6,"jdf4sgo1","name? "
9,"jdf4sgo1","Ok Fig 4 looks like an apron"
3,"jdf4sgo1","Let's call it dress"
5,"jdf4sgo1","okay"
1,"jdf4sgo1","My figure 2 looks like an hourglass"
9,"jdf4sgo1","or hourglass"
2,"jdf4sgo1","thats my fig 1"
6,"jdf4sgo1","fig 4 is the symmetircal looking badge"
4,"jdf4sgo1","thats my figure 2"
7,"jdf4sgo1","would it look like an upside ring"
1,"jdf4sgo1","Great, let's call it hourglass?"
4,"jdf4sgo1","yeah"
7,"jdf4sgo1","thats my figure 5"
3,"jdf4sgo1","Is it pointy or does it have lake a hollow heart shape?"
6,"jdf4sgo1","pointed down"
6,"jdf4sgo1","no heart"
9,"jdf4sgo1","figure 5 looks like a flag"
3,"jdf4sgo1","Fig 4"
1,"jdf4sgo1","my figure 3 looks like an angel"
6,"jdf4sgo1","badge/"
3,"jdf4sgo1","Okay"
2,"jdf4sgo1","same my fig 5 resembles a flag aswell"
4,"jdf4sgo1","maybe figure 3"
5,"jdf4sgo1","okay thats my figure 4"
7,"jdf4sgo1","sounds good Yes flag is my number 2"
6,"jdf4sgo1","heart sharp tiara is fig 5 for me"
4,"jdf4sgo1","is it better on the right?"
1,"jdf4sgo1","let's call it angel"
3,"jdf4sgo1","Fig 1 for me"
4,"jdf4sgo1","i mean bigger"
1,"jdf4sgo1","we've done spiky bat which is my figure 4"
9,"jdf4sgo1","Great!"
6,"jdf4sgo1","name? tiara?"
3,"jdf4sgo1","Sure"
1,"jdf4sgo1","last one is figure 5, antennae "
5,"jdf4sgo1","okay"
4,"jdf4sgo1","okay"
1,"jdf4sgo1","and we'll call it that?"
1,"jdf4sgo1","which number for you"
5,"jdf4sgo1","yes thats my fig 3"
4,"jdf4sgo1","figure 5"
4,"jdf4sgo1","hi"
6,"jdf4sgo1","hello"
9,"jdf4sgo1","hi"
2,"jdf4sgo1","hello"
3,"jdf4sgo1","Hi"
4,"jdf4sgo1","yeah"
6,"jdf4sgo1","fig 2 for me is hert shaped tiara"
8,"jdf4sgo1","hey"
