"id_in_session","session_code","body","body_lemma","network"
1,"jdf4sgo1","Yes","yes","random"
1,"jdf4sgo1","Keep describing your figures please","keep describe figure please","random"
1,"jdf4sgo1","Yes - Figure 4","yes figure","random"
1,"jdf4sgo1","The one you mentioned has a triangle upside down and right way up, is that correct?","one mention triangle upside right way correct","random"
1,"jdf4sgo1","Yep that's my figure 4","yep thats figure","random"
1,"jdf4sgo1","Shall we call it Apron?","shall call apron","random"
1,"jdf4sgo1","Yes :)","yes","random"
1,"jdf4sgo1","How many edges? ","many edge","random"
1,"jdf4sgo1","Could it look like a face of an animal","look like face animal","random"
1,"jdf4sgo1","yes that's my Figure 5","yes thats figure","random"
1,"jdf4sgo1","Yes :)","yes","random"
1,"jdf4sgo1","Figure 3","figure","random"
1,"jdf4sgo1","go with antennae for name","go antenna name","random"
1,"jdf4sgo1","Figure 1","figure","random"
1,"jdf4sgo1","Can call Flag","can call flag","random"
1,"jdf4sgo1","I could agree with it looking like an angel, and that is fig 2","agree look like angel fig","random"
1,"jdf4sgo1",":) phew","phew","random"
1,"jdf4sgo1","Hi ","hello","random"
1,"jdf4sgo1","Go for it","go","random"
1,"jdf4sgo1","That's also my figure 1","thats also figure","random"
2,"jdf4sgo1","Hello yes go ahead","hello yes go ahead","random"
1,"jdf4sgo1","Sounds good!","sound good","random"
1,"jdf4sgo1","Could it also look like an animal face","also look like animal face","random"
1,"jdf4sgo1","That's my figure 3","thats figure","random"
2,"jdf4sgo1","Yes this is my figure 1","yes figure","random"
1,"jdf4sgo1","Yup :)","yup","random"
2,"jdf4sgo1","yes","yes","random"
1,"jdf4sgo1","That's my figure 4, could also look like a cartoon hairline?","thats figure also look like cartoon hairline","random"
2,"jdf4sgo1","That is my figure 4","figure","random"
1,"jdf4sgo1","Haha let's call it flag :)","haha let call flag","random"
2,"jdf4sgo1","yes","yes","random"
1,"jdf4sgo1","That's my figure 2","thats figure","random"
1,"jdf4sgo1","Yep :)","yep","random"
2,"jdf4sgo1","That would be my fig 2","fig","random"
2,"jdf4sgo1","yes","yes","random"
1,"jdf4sgo1","Figure 5 for me","figure","random"
1,"jdf4sgo1","That's the one","thats one","random"
1,"jdf4sgo1","Sounds goos","sound goos","random"
1,"jdf4sgo1","We are all done","do","random"
2,"jdf4sgo1","fig 3","fig","random"
1,"jdf4sgo1","I got 0 points last time but not sure why because it was the same like you and I, hope it's going to be ok","get point last time sure like hope go okay","random"
2,"jdf4sgo1","yes","yes","random"
1,"jdf4sgo1","Exact same images etc.","exact image etc","random"
2,"jdf4sgo1","yes","yes","random"
1,"jdf4sgo1","fingers crossed !","finger cross","random"
2,"jdf4sgo1","yes","yes","random"
2,"jdf4sgo1","yes","yes","random"
2,"jdf4sgo1","hello","hello","random"
3,"jdf4sgo1","Hi","hello","random"
