"id_in_session","session_code","body"
23,"fq1gn8j7","hi"
24,"fq1gn8j7","Hi there!"
1,"fq1gn8j7","Hello"
20,"fq1gn8j7","hi"
21,"fq1gn8j7","hi!"
7,"fq1gn8j7","hey"
22,"fq1gn8j7","hello!"
23,"fq1gn8j7","my first figure looks kind of like a  shield"
21,"fq1gn8j7","my fig1 looks like a pair of antennae"
24,"fq1gn8j7","We finally started. Can you explain your figures. "
1,"fq1gn8j7","Is it spiky"
4,"fq1gn8j7","hi! my figure 1 is taller than figure 2"
23,"fq1gn8j7","yes!"
7,"fq1gn8j7","my first figure looks kinda like a heart with a down arrow as the bottom"
20,"fq1gn8j7","my fig 1 is like antennae"
22,"fq1gn8j7","My 1st figure is spiky"
5,"fq1gn8j7","Hello. Figure 1 somewhat resembles a down arrow."
21,"fq1gn8j7","my figure2 looks like a shield with spikes"
4,"fq1gn8j7","it kind of is shaped like a torch "
24,"fq1gn8j7","I have two figures, one of them is very spiky"
23,"fq1gn8j7","which figure is that one"
21,"fq1gn8j7","what is yours?"
23,"fq1gn8j7","on your screen"
5,"fq1gn8j7","My second figure is very spiky"
1,"fq1gn8j7","Thats also my figure 1 "
24,"fq1gn8j7","It looks like a shield Right"
20,"fq1gn8j7","yeah like a bug's antennae?"
21,"fq1gn8j7","ok"
1,"fq1gn8j7","Does the second one look like a heart?"
23,"fq1gn8j7","great! calling it shield?"
24,"fq1gn8j7","Spiky one"
7,"fq1gn8j7","is there like a shield shape in the middle"
22,"fq1gn8j7","oh ok, does it look similar to a big shield?"
1,"fq1gn8j7","Yeah sounds good"
5,"fq1gn8j7","a sheild with a long bottom"
24,"fq1gn8j7","Like a shield resembling a dragon"
7,"fq1gn8j7","yhh"
23,"fq1gn8j7","the second one looks like antennae"
21,"fq1gn8j7","so I mark them down"
24,"fq1gn8j7","Great"
23,"fq1gn8j7","ah yes also heart too"
4,"fq1gn8j7","a tall shield yes"
24,"fq1gn8j7","it is your figure 2 right"
5,"fq1gn8j7","yes. my figure 2"
24,"fq1gn8j7","Should we call it shield then?"
20,"fq1gn8j7","cool should we call it antenae"
4,"fq1gn8j7","my fig 2 has an arch shape on the left and right"
22,"fq1gn8j7","ok, that's my 1st figure"
5,"fq1gn8j7","yes. is it your figure one or two"
20,"fq1gn8j7","antennae"
21,"fq1gn8j7","great! that seemed easier than I thot!"
7,"fq1gn8j7","yh that can work"
24,"fq1gn8j7","What about the other one, it looks like antennae to me"
23,"fq1gn8j7","want to call it antenna?"
24,"fq1gn8j7","like bug antennae"
1,"fq1gn8j7","Yes"
22,"fq1gn8j7","is it like a bug antennae, you 2nd?"
20,"fq1gn8j7","and my fig 2 is like a shield"
23,"fq1gn8j7","great!"
5,"fq1gn8j7","yes. I can see that. "
4,"fq1gn8j7","its closest resembling a heart shape. yes"
24,"fq1gn8j7","Should we call antennae?"
5,"fq1gn8j7","okay"
20,"fq1gn8j7","spiky shield"
24,"fq1gn8j7","Cheers"
5,"fq1gn8j7","what is the order of your figures"
24,"fq1gn8j7","Good luck then"
22,"fq1gn8j7","ok, got it, thanks!"
4,"fq1gn8j7","lets name fig 1 shield and fig 2 antennae?"
24,"fq1gn8j7","2-1 "
1,"fq1gn8j7","Hello"
23,"fq1gn8j7","hi"
24,"fq1gn8j7","Hi there!"
7,"fq1gn8j7","hey"
21,"fq1gn8j7","hiya"
2,"fq1gn8j7","hello"
20,"fq1gn8j7","hi"
23,"fq1gn8j7","my first figure looks like antennae"
23,"fq1gn8j7","of a bug"
24,"fq1gn8j7","Just checking"
20,"fq1gn8j7","my fig 1 looks like a shield"
18,"fq1gn8j7","Hi"
7,"fq1gn8j7","my first is like a bug and my second is like a spiky shield"
24,"fq1gn8j7","May I start describing"
4,"fq1gn8j7","hello! my fig 1 looks like it has 2 inward arching anttenae "
2,"fq1gn8j7","same as mine"
22,"fq1gn8j7","Hello, my 1st fig. looks like bug antennae"
7,"fq1gn8j7","yes"
21,"fq1gn8j7","my fig1 looks like a spiky kind of shield"
4,"fq1gn8j7","antennae* "
23,"fq1gn8j7","great! calling it antennae?"
24,"fq1gn8j7","alright,"
2,"fq1gn8j7","yes! "
1,"fq1gn8j7","Does it have two spikes on the bottom?"
24,"fq1gn8j7","I think I see a shield"
24,"fq1gn8j7","it gets narrower at bottom right"
5,"fq1gn8j7","Hello. My figure one has a top like antennaes. and the bottom is almost like a downwards arrow"
21,"fq1gn8j7","my fig2 looks like two round antennae"
23,"fq1gn8j7","the second one is  a bit like a shield"
7,"fq1gn8j7","yes"
4,"fq1gn8j7","on the left and right each facing outward? yes"
24,"fq1gn8j7","perfect"
16,"fq1gn8j7","i think it looks like a maple leaf"
21,"fq1gn8j7","how about yours?"
2,"fq1gn8j7","Same here ! this is a perfct round"
24,"fq1gn8j7","it is your 2nd"
1,"fq1gn8j7","Yeah, thats my figure 1 as well"
14,"fq1gn8j7","thats nice thats my fig 2"
4,"fq1gn8j7","okay "
24,"fq1gn8j7","my 1st"
23,"fq1gn8j7","haha yes !"
2,"fq1gn8j7","lets name it Shield then"
20,"fq1gn8j7","cool and just to be sure fig 2 is like antenae"
7,"fq1gn8j7","yes it is my second"
24,"fq1gn8j7","I call it shield"
23,"fq1gn8j7","great!"
7,"fq1gn8j7","thats good"
24,"fq1gn8j7","The other one looks like antennae"
5,"fq1gn8j7","okay. what should we name it. can we call it arrow"
22,"fq1gn8j7","ok, that's your 1st fig? Like a big shield?"
1,"fq1gn8j7","Does your figure 2 look like a dragons head"
7,"fq1gn8j7","yes"
