"id_in_session","session_code","body","body_lemma","network"
23,"fq1gn8j7","hi","hello","random"
24,"fq1gn8j7","Hi there!","hello","random"
1,"fq1gn8j7","Hello","hello","random"
20,"fq1gn8j7","hi","hello","random"
21,"fq1gn8j7","hi!","hello","random"
7,"fq1gn8j7","hey","hey","random"
22,"fq1gn8j7","hello!","hello","random"
23,"fq1gn8j7","my first figure looks kind of like a  shield","first figure look kind like shield","random"
21,"fq1gn8j7","my fig1 looks like a pair of antennae","fig look like pair antenna","random"
24,"fq1gn8j7","We finally started. Can you explain your figures. ","finally start can explain figure","random"
1,"fq1gn8j7","Is it spiky","spiky","random"
4,"fq1gn8j7","hi! my figure 1 is taller than figure 2","hello figure tall figure","random"
23,"fq1gn8j7","yes!","yes","random"
7,"fq1gn8j7","my first figure looks kinda like a heart with a down arrow as the bottom","first figure look kinda like heart arrow bottom","random"
20,"fq1gn8j7","my fig 1 is like antennae","fig like antenna","random"
22,"fq1gn8j7","My 1st figure is spiky","st figure spiky","random"
5,"fq1gn8j7","Hello. Figure 1 somewhat resembles a down arrow.","hello figure somewhat resemble arrow","random"
21,"fq1gn8j7","my figure2 looks like a shield with spikes","figure look like shield spike","random"
4,"fq1gn8j7","it kind of is shaped like a torch ","kind shape like torch","random"
24,"fq1gn8j7","I have two figures, one of them is very spiky","two figure one spiky","random"
23,"fq1gn8j7","which figure is that one","figure one","random"
21,"fq1gn8j7","what is yours?","","random"
23,"fq1gn8j7","on your screen","screen","random"
5,"fq1gn8j7","My second figure is very spiky","2 figure spiky","random"
1,"fq1gn8j7","Thats also my figure 1 ","thats also figure","random"
24,"fq1gn8j7","It looks like a shield Right","look like shield right","random"
20,"fq1gn8j7","yeah like a bug's antennae?","yes like bug antenna","random"
21,"fq1gn8j7","ok","okay","random"
1,"fq1gn8j7","Does the second one look like a heart?","2 one look like heart","random"
23,"fq1gn8j7","great! calling it shield?","great call shield","random"
24,"fq1gn8j7","Spiky one","spiky one","random"
7,"fq1gn8j7","is there like a shield shape in the middle","like shield shape middle","random"
22,"fq1gn8j7","oh ok, does it look similar to a big shield?","oh okay look similar big shield","random"
1,"fq1gn8j7","Yeah sounds good","yes sound good","random"
5,"fq1gn8j7","a sheild with a long bottom","sheild long bottom","random"
24,"fq1gn8j7","Like a shield resembling a dragon","like shield resemble dragon","random"
7,"fq1gn8j7","yhh","yhh","random"
23,"fq1gn8j7","the second one looks like antennae","2 one look like antenna","random"
21,"fq1gn8j7","so I mark them down","mark","random"
24,"fq1gn8j7","Great","great","random"
23,"fq1gn8j7","ah yes also heart too","ah yes also heart","random"
4,"fq1gn8j7","a tall shield yes","tall shield yes","random"
24,"fq1gn8j7","it is your figure 2 right","figure right","random"
5,"fq1gn8j7","yes. my figure 2","yes figure","random"
