"participant.id_in_session","condition","session_id","subsession.round_number","participant_number","item_number","answers","target","network_size","Answers_clean"
1,"random","48b9jmgp",3,"p1","reordered_keywords_1","tie",0,12,"tie"
1,"random","48b9jmgp",3,"p1","reordered_keywords_2","apple",0,12,"apple"
1,"random","48b9jmgp",3,"p1","reordered_keywords_3","flag",1,12,"flag"
1,"random","48b9jmgp",3,"p1","reordered_keywords_4","antennae",1,12,"antenna"
1,"random","48b9jmgp",3,"p1","reordered_keywords_5","hourglass",0,12,"hourglass"
1,"random","48b9jmgp",4,"p1","reordered_keywords_1","tie",0,12,"tie"
1,"random","48b9jmgp",4,"p1","reordered_keywords_2","apple",0,12,"apple"
1,"random","48b9jmgp",4,"p1","reordered_keywords_3","boomerang",0,12,"boomerang"
1,"random","48b9jmgp",4,"p1","reordered_keywords_4","antennae",1,12,"antenna"
1,"random","48b9jmgp",4,"p1","reordered_keywords_5","hourglass",0,12,"hourglass"
1,"random","48b9jmgp",10,"p1","reordered_keywords_1","tie",0,12,"tie"
1,"random","48b9jmgp",10,"p1","reordered_keywords_2","apple",0,12,"apple"
1,"random","48b9jmgp",10,"p1","reordered_keywords_3","boomerang",0,12,"boomerang"
1,"random","48b9jmgp",10,"p1","reordered_keywords_4","plants",0,12,"plant"
1,"random","48b9jmgp",10,"p1","reordered_keywords_5","hourglass",0,12,"hourglass"
2,"ws","9caxmijh",5,"p10","reordered_keywords_1","shield",1,12,"shield"
2,"ws","9caxmijh",5,"p10","reordered_keywords_2","angel",1,12,"angel"
2,"ws","9caxmijh",5,"p10","reordered_keywords_3","flag",1,12,"flag"
2,"ws","9caxmijh",5,"p10","reordered_keywords_4","antennae",1,12,"antenna"
2,"ws","9caxmijh",5,"p10","reordered_keywords_5","apron",1,12,"apron"
2,"ws","9caxmijh",10,"p10","reordered_keywords_1","shield",1,12,"shield"
2,"ws","9caxmijh",10,"p10","reordered_keywords_2","angel",1,12,"angel"
