participant.id_in_session,subsession.round_number,session.code,participant_number,network_size,condition,confederate,item_number,answers,target
1,2,fnhksv1f,p164,24,ws,seperated,reordered_keywords_1,mirror,0
1,2,fnhksv1f,p164,24,ws,seperated,reordered_keywords_4,ears,0
1,9,fnhksv1f,p164,24,ws,seperated,reordered_keywords_1,mirror,0
1,9,fnhksv1f,p164,24,ws,seperated,reordered_keywords_4,ears,0
2,3,fnhksv1f,p165,24,ws,seperated,reordered_keywords_1,mirror,0
2,3,fnhksv1f,p165,24,ws,seperated,reordered_keywords_4,ears,0
2,6,fnhksv1f,p165,24,ws,seperated,reordered_keywords_1,dragon,0
2,6,fnhksv1f,p165,24,ws,seperated,reordered_keywords_4,antennae,1
2,9,fnhksv1f,p165,24,ws,seperated,reordered_keywords_1,dragon,0
2,9,fnhksv1f,p165,24,ws,seperated,reordered_keywords_4,antennae,1
3,4,fnhksv1f,p166,24,ws,seperated,reordered_keywords_1,mirror,0
3,4,fnhksv1f,p166,24,ws,seperated,reordered_keywords_4,ears,0
3,9,fnhksv1f,p166,24,ws,seperated,reordered_keywords_1,mirror,0
3,9,fnhksv1f,p166,24,ws,seperated,reordered_keywords_4,ear,0
4,3,fnhksv1f,p167,24,ws,seperated,reordered_keywords_4,antennae,1
4,5,fnhksv1f,p167,24,ws,seperated,reordered_keywords_1,dragon,0
4,5,fnhksv1f,p167,24,ws,seperated,reordered_keywords_4,snakes,0
4,9,fnhksv1f,p167,24,ws,seperated,reordered_keywords_1,dragon's head,0
4,9,fnhksv1f,p167,24,ws,seperated,reordered_keywords_4,antennae,1
5,5,fnhksv1f,p168,24,ws,seperated,reordered_keywords_1,mirror,0
5,5,fnhksv1f,p168,24,ws,seperated,reordered_keywords_4,ears,0
5,8,fnhksv1f,p168,24,ws,seperated,reordered_keywords_1,giraffe head,0
5,8,fnhksv1f,p168,24,ws,seperated,reordered_keywords_4,antennae,1
5,9,fnhksv1f,p168,24,ws,seperated,reordered_keywords_1,trophy,0
5,9,fnhksv1f,p168,24,ws,seperated,reordered_keywords_4,antennae,1
6,4,fnhksv1f,p169,24,ws,seperated,reordered_keywords_1,antenna,0
6,4,fnhksv1f,p169,24,ws,seperated,reordered_keywords_4,shield,0
6,7,fnhksv1f,p169,24,ws,seperated,reordered_keywords_1,dragon,0
6,7,fnhksv1f,p169,24,ws,seperated,reordered_keywords_4,snake,0
6,9,fnhksv1f,p169,24,ws,seperated,reordered_keywords_1,dragon,0
6,9,fnhksv1f,p169,24,ws,seperated,reordered_keywords_4,snake,0
7,5,fnhksv1f,p170,24,ws,seperated,reordered_keywords_1,shield,1
7,5,fnhksv1f,p170,24,ws,seperated,reordered_keywords_4,antennae,1
7,6,fnhksv1f,p170,24,ws,seperated,reordered_keywords_1,shield,1
7,6,fnhksv1f,p170,24,ws,seperated,reordered_keywords_4,antennae,1
7,9,fnhksv1f,p170,24,ws,seperated,reordered_keywords_1,horse,0
7,9,fnhksv1f,p170,24,ws,seperated,reordered_keywords_4,satellite,0
8,9,fnhksv1f,p171,24,ws,seperated,reordered_keywords_1,shield,1
8,9,fnhksv1f,p171,24,ws,seperated,reordered_keywords_4,antennae,1
9,3,fnhksv1f,p172,24,ws,seperated,reordered_keywords_1,shield,1
9,3,fnhksv1f,p172,24,ws,seperated,reordered_keywords_4,antennae,1
9,7,fnhksv1f,p172,24,ws,seperated,reordered_keywords_1,dragon head,0
9,7,fnhksv1f,p172,24,ws,seperated,reordered_keywords_4,antennae,1
9,9,fnhksv1f,p172,24,ws,seperated,reordered_keywords_1,shield,1
9,9,fnhksv1f,p172,24,ws,seperated,reordered_keywords_4,antennae,1
10,5,fnhksv1f,p173,24,ws,seperated,reordered_keywords_1,shield,1
10,5,fnhksv1f,p173,24,ws,seperated,reordered_keywords_4,antennae,1
